#Solver status:
Success
#Number of nondominated points:
78
#Number of models solved:
385
#Elapsed time (seconds):
18.6829
#Ideal point:
1063 1099 1001 
#Incumbent nadir point:
796 761 650 
#The set of nondominated points:
964 1003 924 
931 1099 830 0.261571
1063 877 721 0.254458
903 1085 921 0.223413
846 867 1001 0.219289
1043 950 722 0.198883
1029 832 788 0.16704
1028 903 834 0.164468
1036 983 779 0.162309
1025 1032 704 0.156755
796 943 977 0.150913
990 1058 817 0.149823
981 1056 900 0.144371
863 920 977 0.144371
866 967 966 0.119574
907 898 965 0.116725
1008 950 842 0.113046
877 1034 963 0.111027
1004 1029 748 0.102761
880 1081 952 0.0882347
910 945 954 0.0853855
996 993 813 0.0821919
988 978 842 0.0616228
1004 887 863 0.0590517
925 908 950 0.0564806
953 1087 847 0.0564806
946 1076 894 0.0544271
884 894 996 0.0540465
1016 968 801 0.048976
1000 931 865 0.0487671
943 877 940 0.0454995
1046 824 745 0.043625
920 1025 936 0.0436249
950 889 938 0.0398015
849 914 990 0.0369525
1017 996 769 0.035348
1021 940 839 0.0333403
924 1088 877 0.0326224
910 1096 874 0.0298969
982 906 910 0.0284056
1001 1004 784 0.0281981
1023 993 782 0.0271713
1053 900 650 0.0256269
997 949 850 0.0227075
976 1066 814 0.0217201
821 928 973 0.0198585
887 1092 905 0.0189946
957 852 933 0.0179135
1032 995 699 0.0179135
1043 946 774 0.0179135
1004 966 807 0.0170097
1015 974 805 0.016269
931 914 936 0.016269
996 1039 795 0.0153424
987 1011 828 0.0153423
943 1029 905 0.0141606
847 937 971 0.0141605
889 858 974 0.0127712
1008 1014 726 0.0102002
881 931 962 0.0102002
887 1095 877 0.00809234
828 940 971 0.00809223
1007 777 850 0.00762906
923 953 927 0.007629
991 958 834 0.00762894
984 934 871 0.0076289
999 977 811 0.0076289
1014 928 841 0.00561359
842 902 992 0.00561355
989 923 867 0.0056135
856 908 979 0.0056135
859 955 968 0.00561348
986 961 844 0.00561345
967 893 911 0.00276458
882 959 937 0.00276449
934 961 925 0.00276446
983 905 873 0.00248674
983 761 879 0.00248674
