#Solver status:
Success
#Number of nondominated points:
78
#Number of models solved:
401
#Elapsed time (seconds):
20.8887
#Ideal point:
1063 1099 1001 
#Incumbent nadir point:
796 761 650 
#The set of nondominated points:
964 1003 924 
1063 877 721 0.282051
931 1099 830 0.273504
903 1085 921 0.233618
846 867 1001 0.219373
1043 950 722 0.207977
1029 832 788 0.185185
1028 903 834 0.182336
1025 1032 704 0.173789
1023 993 782 0.168091
990 1058 817 0.156695
863 920 977 0.150997
796 943 977 0.150997
981 1056 900 0.150997
1017 996 769 0.131054
1008 950 842 0.125356
889 858 974 0.122507
866 967 966 0.119658
907 898 965 0.11396
877 1034 963 0.111111
880 1081 952 0.0883187
996 993 813 0.0883187
910 945 954 0.0854697
988 978 842 0.0683757
925 908 950 0.0626777
953 1087 847 0.0626777
884 894 996 0.0598287
924 1088 877 0.0598287
1004 887 863 0.0598287
946 1076 894 0.0569797
1043 946 774 0.0569797
1000 931 865 0.0541307
1015 974 805 0.0541307
1008 1014 726 0.0512817
920 1025 936 0.0484327
943 877 940 0.0455837
950 889 938 0.0398857
1004 1029 748 0.0398857
849 914 990 0.0370367
1021 940 839 0.0370367
1036 983 779 0.0370367
910 1096 874 0.0313387
1001 1004 784 0.0313387
982 906 910 0.0284897
1053 900 650 0.0284897
976 1066 814 0.0227917
997 949 850 0.0227917
1016 968 801 0.0227917
887 1092 905 0.0199427
821 928 973 0.0199427
957 852 933 0.0199427
1032 995 699 0.0199427
931 914 936 0.0170937
987 1011 828 0.0170937
996 1039 795 0.0170937
847 937 971 0.0142447
943 1029 905 0.0142447
881 931 962 0.0113957
887 1095 877 0.00854666
828 940 971 0.00854666
923 953 927 0.00854666
984 934 871 0.00854666
991 958 834 0.00854666
999 977 811 0.00854666
1007 777 850 0.00854666
1046 824 745 0.00854666
842 902 992 0.00569766
859 955 968 0.00569766
856 908 979 0.00569766
986 961 844 0.00569766
989 923 867 0.00569766
1004 966 807 0.00569766
1014 928 841 0.00569766
882 959 937 0.00284866
934 961 925 0.00284866
967 893 911 0.00284866
983 905 873 0.00284866
983 761 879 0.00284866
