#Solver status:
Success
#Number of nondominated points:
78
#Number of models solved:
173
#Elapsed time (seconds):
7.27966
#Incumbent ideal point:
1063 1099 1001 
#Incumbent nadir point:
796 761 650 
#The set of nondominated points:
846 867 1001 
884 894 996 
842 902 992 
849 914 990 
856 908 979 
863 920 977 
796 943 977 
889 858 974 
821 928 973 
847 937 971 
828 940 971 
859 955 968 
866 967 966 
907 898 965 
877 1034 963 
881 931 962 
910 945 954 
880 1081 952 
925 908 950 
943 877 940 
950 889 938 
882 959 937 
920 1025 936 
931 914 936 
957 852 933 
923 953 927 
934 961 925 
964 1003 924 
903 1085 921 
967 893 911 
982 906 910 
887 1092 905 
943 1029 905 
981 1056 900 
946 1076 894 
983 761 879 
887 1095 877 
924 1088 877 
910 1096 874 
983 905 873 
984 934 871 
989 923 867 
1000 931 865 
1004 887 863 
997 949 850 
1007 777 850 
953 1087 847 
986 961 844 
988 978 842 
1008 950 842 
1014 928 841 
1021 940 839 
991 958 834 
1028 903 834 
931 1099 830 
987 1011 828 
990 1058 817 
976 1066 814 
996 993 813 
999 977 811 
1004 966 807 
1015 974 805 
1016 968 801 
996 1039 795 
1029 832 788 
1001 1004 784 
1023 993 782 
1036 983 779 
1043 946 774 
1017 996 769 
1004 1029 748 
1046 824 745 
1008 1014 726 
1043 950 722 
1063 877 721 
1025 1032 704 
1032 995 699 
1053 900 650 
