#Solver type:
rMOCO-S_sba
#Solver status:
Success
#Number of nondominated points:
77
#Number of models solved:
371
#Elapsed time (seconds):
18.707
#Ideal point:
1063 1099 1001 
#Incumbent nadir point:
796 761 650 
#The set of nondominated points:
964 1003 924 
918 1099 830 0.261571
1063 877 721 0.25633
903 1085 921 0.223413
846 867 1001 0.219289
1043 950 722 0.198883
1029 832 788 0.168269
1028 903 834 0.165679
1036 983 779 0.162309
796 943 977 0.150913
976 1066 814 0.150138
981 1056 900 0.144371
863 920 977 0.144371
1012 1032 704 0.124238
866 967 966 0.119574
907 898 965 0.116725
1008 950 842 0.113878
877 1034 963 0.111027
880 1081 952 0.0882347
910 945 954 0.0853855
953 1087 847 0.0844085
996 993 813 0.0827971
1008 1014 726 0.0625936
1004 887 863 0.0594867
1004 1029 748 0.0594867
925 908 950 0.0568966
946 1076 894 0.0544271
884 894 996 0.0543065
1015 974 805 0.0491265
1000 931 865 0.0491265
943 877 940 0.0454995
920 1025 936 0.0439464
1046 824 745 0.0439463
996 1039 795 0.0387663
849 914 990 0.0369525
931 914 936 0.0335862
1021 940 839 0.0335862
950 889 938 0.0326224
910 1096 874 0.0298969
982 906 910 0.0284056
1023 993 782 0.0271713
1053 900 650 0.0258161
957 852 933 0.0255565
997 949 850 0.0227075
991 958 834 0.0217202
911 1088 877 0.0206359
821 928 973 0.0198585
887 1092 905 0.0189946
1043 946 774 0.018046
988 978 842 0.0180459
943 1029 905 0.0141606
847 937 971 0.0141605
889 858 974 0.0128658
1001 1004 784 0.0128658
881 931 962 0.0102758
887 1095 877 0.00809234
828 940 971 0.00809223
1007 777 850 0.00768576
1004 996 769 0.00768572
999 977 811 0.00768571
923 953 927 0.00768568
984 934 871 0.00768568
1014 928 841 0.00561359
842 902 992 0.00561355
1004 966 807 0.00561353
989 923 867 0.0056135
856 908 979 0.0056135
859 955 968 0.00561348
986 961 844 0.00561345
977 1058 817 0.00536671
1019 995 699 0.00536663
967 893 911 0.00276458
882 959 937 0.00276449
934 961 925 0.00276446
983 905 873 0.00250566
983 761 879 0.00250566
1016 968 801 0.00250557
